
Nom de l'image                 PID Nom de la sessio NumÇro de s Utilisation  êtat            Nom d'utilisateur                                  Temps proces Titre de la fenàtre                                                     
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
RtkAudUService64.exe          5968 Services                   0       252 Ko Unknown         AUTORITE NT\Systäme                                     0:00:32 N/A                                                                     
wslservice.exe                5976 Services                   0     3ˇ008 Ko Unknown         AUTORITE NT\Systäme                                     0:00:09 N/A                                                                     
SNAPOSS64.exe                 5984 Services                   0        20 Ko Unknown         AUTORITE NT\Systäme                                     0:00:02 N/A                                                                     
WMIRegistrationService.ex     5992 Services                   0        24 Ko Unknown         AUTORITE NT\Systäme                                     0:00:02 N/A                                                                     
svchost.exe                   6000 Services                   0        48 Ko Unknown         AUTORITE NT\Systäme                                     0:00:00 N/A                                                                     
svchost.exe                   6020 Services                   0       472 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:02 N/A                                                                     
svchost.exe                   6032 Services                   0       492 Ko Unknown         AUTORITE NT\Systäme                                     0:00:05 N/A                                                                     
GUBootService.exe             6012 Services                   0       524 Ko Unknown         AUTORITE NT\Systäme                                     0:07:50 N/A                                                                     
svchost.exe                   6040 Services                   0    16ˇ524 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:05:05 N/A                                                                     
redis-server.exe              6048 Services                   0       404 Ko Unknown         AUTORITE NT\SERVICE RêSEAU                              0:01:04 N/A                                                                     
spacedeskService.exe          6064 Services                   0        20 Ko Unknown         AUTORITE NT\Systäme                                     0:00:01 N/A                                                                     
OfficeClickToRun.exe          6072 Services                   0     6ˇ380 Ko Unknown         AUTORITE NT\Systäme                                     0:00:51 N/A                                                                     
LMS.exe                       6092 Services                   0        24 Ko Unknown         AUTORITE NT\Systäme                                     0:00:06 N/A                                                                     
svchost.exe                   3920 Services                   0       460 Ko Unknown         AUTORITE NT\Systäme                                     0:00:02 N/A                                                                     
IntelGraphicsSoftware.Ser     6492 Services                   0     3ˇ652 Ko Unknown         AUTORITE NT\Systäme                                     0:00:31 N/A                                                                     
LanWlanWwanSwitchingServi     6660 Services                   0       672 Ko Unknown         AUTORITE NT\Systäme                                     0:00:03 N/A                                                                     
svchost.exe                   6720 Services                   0       524 Ko Unknown         AUTORITE NT\Systäme                                     0:00:08 N/A                                                                     
svchost.exe                   6756 Services                   0       436 Ko Unknown         AUTORITE NT\Systäme                                     0:00:02 N/A                                                                     
wlanext.exe                   7368 Services                   0        84 Ko Unknown         AUTORITE NT\Systäme                                     0:00:03 N/A                                                                     
AggregatorHost.exe            6836 Services                   0        24 Ko Unknown         AUTORITE NT\Systäme                                     0:00:12 N/A                                                                     
PresentMonService.exe         8756 Services                   0       792 Ko Unknown         AUTORITE NT\Systäme                                     0:01:30 N/A                                                                     
conhost.exe                   8764 Services                   0        52 Ko Unknown         AUTORITE NT\Systäme                                     0:00:00 N/A                                                                     
svchost.exe                   8648 Services                   0     1ˇ560 Ko Unknown         AUTORITE NT\Systäme                                     0:00:08 N/A                                                                     
svchost.exe                   1904 Services                   0     1ˇ364 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:13 N/A                                                                     
svchost.exe                   3060 Services                   0       456 Ko Unknown         AUTORITE NT\Systäme                                     0:00:08 N/A                                                                     
svchost.exe                   4776 Services                   0     2ˇ636 Ko Unknown         AUTORITE NT\Systäme                                     0:00:48 N/A                                                                     
svchost.exe                   6100 Services                   0       524 Ko Unknown         AUTORITE NT\Systäme                                     0:00:11 N/A                                                                     
svchost.exe                   8688 Services                   0       460 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:03 N/A                                                                     
svchost.exe                   9128 Services                   0     9ˇ852 Ko Unknown         AUTORITE NT\Systäme                                     0:02:10 N/A                                                                     
SearchIndexer.exe             8532 Services                   0   100ˇ272 Ko Unknown         AUTORITE NT\Systäme                                    24:32:11 N/A                                                                     
svchost.exe                   8892 Services                   0     2ˇ716 Ko Unknown         AUTORITE NT\Systäme                                     0:00:45 N/A                                                                     
